recipe_id,source,title,raw_ingredients,target_band,target_score,expected_swaps,swap_quality,notes,other_alternatives
parmesan-garlic-butter-crusted-halibut,https://www.halfbakedharvest.com/parmesan-garlic-butter-crusted-halibut/,Parmesan Garlic Butter Crusted Halibut,"4 halibut fillets; 1/2 cup Panko breadcrumbs; 1/2 cup grated parmesan cheese; 2 cloves garlic, grated; 2 tablespoons dried parsley; 2 tablespoons dried basil; 1 teaspoon dried thyme; chili flakes; salt and pepper; 6 tablespoons salted butter, melted; 2 tablespoons lemon juice",Mostly Clean,74,salted butter>olive oil for the crust; panko>whole-wheat panko or homemade crumbs,,Halibut and dried herbs are pristine; the butter crust was the whole story. Cheese kept - it's doing the flavor work.,"parmesan (1/2 cup)>fresh-aisle hard cheese, it IS the crust>grate from a wedge, not pre-grated tubs"
weeknight-cheesy-baked-chipotle-chicken,https://www.halfbakedharvest.com/chipotle-chicken-tacos/,Weeknight Cheesy Baked Chipotle Chicken Tacos with Cilantro Lime Ranch.,"2 tablespoons extra virgin olive oil; 1 pound ground chicken, beef, or turkey; 1 yellow onion, chopped; 2-3 teaspoons chipotle chili powder, use to your taste; 2 teaspoons smoked paprika; 1 1/2 teaspoons ground cumin; 1 teaspoon garlic powder; 1/4-1/2 teaspoon crushed red pepper, use to your taste; 1/2 teaspoon dried oregano; 1 teaspoon kosher salt; 1/4 cup fresh cilantro, chopped; 12 hard shell tacos (see notes for homemade option); 2 cups shredded Mexican cheese; 1 cup sour cream or plain Greek yogurt; 3/4 cup fresh cilantro, finely chopped; 1 teaspoon garlic powder; 1 teaspoon onion powder; 1/4 cup pickled jalapeños, chopped + 2 tablespoons brine; juice from 2 limes; 1 teaspoon kosher salt",Processed,57,hard shell tacos>charred corn tortillas; pre-shredded cheese>block cheese grated fresh; sour cream>plain greek yogurt,,"Ground-chicken filling is clean; 12 fried packaged shells plus 2 cups bagged cheese flip the dish to Processed. Boundary case - the tortilla swap alone jumps a band. Note the cheese flag here is about pre-shredded sourcing, not cheese itself.",pickled jalapenos + brine>the brine is the point of the ranch>fresh jalapeno + extra lime juice
one-skillet-lemon-butter-dijon-chicken-a,https://www.halfbakedharvest.com/lemon-butter-dijon-chicken-and-orzo/,One Skillet Lemon Butter Dijon Chicken and Orzo with Feta Sauce,"3 tablespoons extra virgin olive oil; 2 tablespoons Dijon mustard; 4 cloves garlic, chopped; 2 small shallots, chopped; 2 tablespoons chopped fresh rosemary; 1 teaspoon smoked paprika; kosher salt and black pepper; 2 pounds boneless chicken breasts or thighs; 3 tablespoons salted butter; 1 lemon, sliced; 1 1/2 cups orzo pasta; 3 cups low sodium chicken broth; 2 cups chopped kale; chopped fresh dill, for serving; 4-6 ounces feta cheese; 1/4 cup plain Greek yogurt; 1 clove garlic, grated; juice from 1 lemon; 1/4 teaspoon smoked paprika; crushed red pepper flakes",Mostly Clean,75,orzo>farro or barley (whole intact grains),,"Kale, yogurt-feta sauce, low-sodium broth - thoughtfully built. Grain swap respects the one-pot method (pasta ladder would break it - noted for realism).","butter (3 tbsp)>functional across 2 lb of chicken>olive oil for part; feta (4-6 oz)>block feta in brine is fresh-aisle cheese and the sauce identity>goat cheese, or rinse the brine"
honey-mustard-pretzel-chicken-and-avocad,https://www.halfbakedharvest.com/pretzel-chicken-and-avocado-bacon-salad/,Honey Mustard Pretzel Chicken and Avocado Bacon Salad.,"2 eggs beaten; 1 pound boneless chicken tenders; 1 cup finely crushed salted pretzel twists; 1 teaspoon chili powder; 1/2 teaspoon garlic powder; 1/2 teaspoon onion powder; 1/2 teaspoon smoked paprika; 1/4-1/2 teaspoon cayenne pepper; kosher salt and black pepper; extra virgin olive oil, for brushing; 6 cups mixed greens; 1 cup cherry tomatoes, halved; 1/2 cup shaved parmesan; 1-2 avocados, diced; 4 slices cooked thick cut bacon, crumbled; 1/4 cup extra virgin olive oil; 1/4 cup honey; juice of 1 lemon; 3 tablespoons dijon mustard; 2 tablespoons tahini; 2 tablespoons apple cider vinegar; 1/2 teaspoon cayenne pepper",Mostly Clean,63,pretzel crust>whole-grain panko + spices; bacon>toasted nuts,,"Salad bones are great (greens, avocado, tahini). Honey no longer punished as if refined sugar - target 61->63.","honey (1/4 cup)>a lot of sweetener, but honey is an acceptable unrefined one>sharpen with extra vinegar/lemon so less dressing is needed"
best-pad-thai-recipe-30-minutes,https://twokooksinthekitchen.com/best-pad-thai-recipe/,Best Pad Thai Recipe (30 Minutes),"4 ounces flat rice noodles (less than 1/4 inch (2-3 mm) wide); 1 1/2 tablespoon vegetable oil, divided (or 1/2 tbsp if using tofu or pre-cooked shrimp, chicken); 8 ounces tofu, shrimp or chicken, Note 1; 3 garlic cloves, minced (3 tsp); 3 green onions, cut into 1 inch/2.5 cm pieces; 1 1/2 cup julienned carrots or red bell pepper or combination (about 1/2 pepper, 1 medium carrot); 2 eggs; 1 cup bean sprouts; 2 tablespoon fish sauce Note 2; 2 tablespoon soy sauce, low sodium; 1/4 cup brown sugar; 2 tablespoon rice vinegar (or 1 1/2 tbsp tamarind paste); 1 tablespoon sriracha (for mild-medium spicy); 2 tablespoon smooth peanut butter; lime wedges; 1/2 cup dry roasted peanuts, crushed; 1/4 cup chopped fresh cilantro (or parsley)",Processed,58,brown sugar>tamarind paste + a little honey; vegetable oil>avocado oil,4,"Homemade beats takeout, but sugar + fish sauce + soy in one sauce is a sodium-sugar double hit. Truly on the Processed / Mostly Clean line - reasonable labelers could disagree.","fish sauce (2 tbsp)>it defines pad thai>lower-sodium fish sauce, or coconut aminos + extra lime; sriracha>small amount, does a real job>fresh chili; soy sauce>already low-sodium in the recipe>coconut aminos"
the-best-chocolate-chip-cookie-recipe-ev,https://joyfoodsunshine.com/the-most-amazing-chocolate-chip-cookies/,The Best Chocolate Chip Cookie Recipe Ever,▢ 1 cup salted butter softened; ▢ 1 cup granulated sugar; ▢ 1 cup light brown sugar packed; ▢ 2 teaspoons pure vanilla extract; ▢ 2 large eggs; ▢ 3 cups all-purpose flour; ▢ 1 teaspoon baking soda; ▢ ½ teaspoon baking powder; ▢ 1 teaspoon sea salt; ▢ 2 cups chocolate chips (12 oz),Processed,42,chocolate chips>chopped 70%+ dark chocolate bar; all-purpose flour>half white whole wheat,,"Hard call: from-scratch home baking, but 2 cups sugar + 3 cups white flour + packaged chips. My composite lands Ultra-processed by a point; I hold it at low Processed since nothing is industrial beyond the chips. This row defines the homemade-dessert boundary.","granulated + brown sugar (2 cups)>creaming structure needs crystalline sugar, honey would change spread and texture>coconut sugar 1:1 (less refined), or choose a honey-sweetened cookie recipe instead; butter (1 cup)>structural>none within this recipe"
good-old-fashioned-pancakes,https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/,Good Old-Fashioned Pancakes,"1.5 cups all-purpose flour; 3.5 teaspoons baking powder; 1 tablespoon white sugar; 0.25 teaspoon salt, or more to taste; 1.25 cups milk; 3 tablespoons butter, melted; 1 egg",Mostly Clean,62,all-purpose flour>white whole wheat; white sugar>honey or mashed banana,5,Minimal added sugar for a breakfast bake; the all-refined-flour base is what caps it. Toppings (not listed) are the real-world wildcard.,"butter (3 tbsp)>real food, modest amount>none needed"
no-bake-energy-bites,https://www.allrecipes.com/recipe/239969/no-bake-energy-bites/,No-Bake Energy Bites,1 cup rolled oats; 0.5 cup miniature semisweet chocolate chips; 0.5 cup ground flax seed; 0.5 cup crunchy peanut butter; 0.33333334326744 cup honey; 1 teaspoon vanilla extract,Mostly Clean,65,chocolate chips>cacao nibs or chopped dark chocolate; peanut butter>natural (peanuts + salt),5,Oats and flax are real food. Honey no longer treated as refined sugar - target 63->65; the chips are the actual candy in the room.,"honey (1/3 cup)>it's the binder, and honey is an acceptable unrefined sweetener>date paste"
healthy-honey-sesame-chicken-meal-prep-b,https://findingtimeforcooking.com/main-dishes/healthy-honey-sesame-chicken-meal-prep-bowls/,Healthy Honey Sesame Chicken Meal Prep Bowls,CHICKEN & SAUCE; 1 1/2 lbs of boneless skinless chicken breasts (cubed (about 3 cups)); 1/3 cup of cornstarch (or arrowroot powder); 1 teaspoon of garlic powder; 1/2 teaspoon of salt; 1/4 teaspoon of black pepper; 1/4 cup of avocado oil; 1/3 cup of honey; 1 Tablespoon of tomato paste; 1 Tablespoon of tamari (or soy sauce/coconut aminos); 1 teaspoon of toasted sesame oil; 1 teaspoon of ground ginger; 1/4 teaspoon of sea salt; 1 Tablespoon of sesame seeds; RICE & VEGGIES; 1 cup jasmine or basmati rice; 2 cups of water; Optional sub for water: bone broth (for added protein); 1 teaspoon lime juice; A lot of veggies (chopped (see notes on what & why)); 2 Tablespoons of avocado or olive oil; Sea salt; 2 to 3 green onions (chopped (for garnish)),Mostly Clean,64,cornstarch>arrowroot powder; jasmine rice>brown rice,5,"'Healthy' in the title and honestly not far off: whole protein, big veg pile, honey rather than refined sugar. Target 62->64 under the honey rule.","honey (1/3 cup)>the sauce identity, and an acceptable unrefined sweetener>more tomato paste + rice vinegar to balance so the sauce needs less"
spiced-roasted-chickpeas-with-lemon-y-wh,https://findingtimeforcooking.com/main-dishes/spiced-chickpeas-with-whipped-feta/,Spiced Roasted Chickpeas with Lemon-y Whipped Feta,"1 400g can of chickpeas, drained & rinsed; 2 tablespoons of olive oil (plus extra for drizzling); 2 teaspoons of smoked paprika; 2 teaspoons of garlic powder; 2 teaspoons of dried oregano; 1 teaspoon of chili flakes (to taste); 200 g of feta (block, not crumbles); 110 g of plain yogurt; 1 clove of garlic; Zest of 1/2 a lemon; Sea salt (to taste)",Clean,80,,5,Legumes + olive oil + yogurt. The v1 'trim the feta' swap violated the no-reduction rule and is withdrawn - fresh-aisle feta stays.,"feta (200g block)>block feta is fresh-aisle cheese, brine sodium is the only knob>rinse before whipping, goat cheese"
couscous-summer-salad,https://pinchofyum.com/couscous-summer-salad,Couscous Summer Salad,"1 cup couscous (uncooked); 1/2 cup dried cherries; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1 1/4 cups chicken or veggie broth, warm; salt and pepper; 1 can chickpeas, rinsed and drained; 2 pieces of fresh sweet corn, kernels cut off the cob; 2 nectarines or peaches, diced; 1 cucumber, diced; 1 avocado, cut into chunks; 1/4 red onion, finely diced; 1/2 cup pepitas, sunflower seeds, or something crunchy; 2 cups arugula or spinach; parsley / mint / basil / any herbs, really; lemon juice, honey, olive oil for dressing",Mostly Clean,76,couscous>quinoa or another whole intact grain; dried cherries>fresh or unsweetened dried,5,Produce-heavy and legume-forward. Honey rule applied; the grain and dried-fruit swaps are the only real knobs. High Mostly Clean.,honey in the dressing>small and acceptable>none needed
shakshuka-recipe,https://www.loveandlemons.com/shakshuka-recipe/,Shakshuka Recipe,"2 tablespoons extra-virgin olive oil; 1 small white onion, diced; 1 red bell pepper, stemmed, seeded, and diced; 3 garlic cloves, minced; 1 teaspoon ground cumin; ½ teaspoon paprika; Pinch cayenne pepper, optional; 1 (28-ounce) can fire-roasted crushed tomatoes; ½ teaspoon sea salt, plus more to taste; Freshly ground black pepper; 6 large eggs; ¼ cup fresh parsley or cilantro leaves; ¼ cup crumbled feta cheese; Pita, for serving",Clean,84,pita>whole-wheat pita,5,Eggs poached in a scratch pepper-tomato sauce. Solid Clean.,"canned fire-roasted tomatoes>minimal processing, does real work>no-salt-added version; feta (1/4 cup)>fresh-aisle garnish amount>none needed"
perfect-baked-potato,https://www.loveandlemons.com/baked-potato/,Perfect Baked Potato,4 medium russet potatoes; Extra-virgin olive oil; Sea salt,Clean,96,,,Three whole ingredients. Anchor row for the top of the scale.,
easy-cheesy-pull-apart-garlic-knots,https://www.seriouseats.com/pull-apart-garlic-knots-recipe-11688854,"Easy, Cheesy Pull-Apart Garlic Knots","8 tablespoons (113 g) unsalted butter; 1/4 cup (60 ml) extra-virgin olive oil; 6 medium cloves garlic (30 g), grated on a rasp grater, such as a Microplane (1 tablespoon); 1/2 teaspoon crushed red pepper flakes; 1/2 teaspoon Diamond Crystal kosher salt, for table salt, use half as much by volume; 1/4 cup finely chopped fresh flat-leaf parsley (about 0.5 ounce, 13 g), divided, plus more for serving; 22- to 24-ounces (624 to 680 g) store-bought fresh pizza dough or homemade New York-style pizza dough , at room temperature; 2 ounces (56 g) Gruyère cheese, finely shredded (about 1/2 cup); 1 ounce grated Parmesan cheese (28g, about 1/4 cup), plus more for serving; Homemade or store-bought pizza sauce for serving, optional",Processed,54,store-bought dough>homemade dough; butter>garlic-infused olive oil for the soak,5,Butter-soaked white dough is the dish; store-bought dough is the UPF question mark. High Processed.,Gruyere + Parmesan>fresh-aisle cheeses in modest amounts>grate fresh from block/wedge
pull-apart-sliders,https://www.marthastewart.com/1541869/pull-apart-sliders,Pull-Apart Sliders,"1.5 pounds ground beef chuck (85 percent lean); Kosher salt and freshly ground pepper; 12 Hawaiian sweet rolls, such as King's Hawaiian (1 package); 6 ounces American cheese, thinly sliced; Unsalted butter, melted, for brushing; Sesame seeds, for sprinkling; Sliced iceberg lettuce, cherry tomatoes, and cornichons, for serving; Toothpicks or small bamboo skewers, for serving",Ultra-processed,38,American cheese>real cheddar slices; Hawaiian sweet rolls>homemade or bakery-fresh rolls; ground chuck>90% lean beef,,"Fresh beef and lettuce, but the delivery system (King's Hawaiian + American cheese) is flagship UPF. I lean Ultra-processed because both signature ingredients are NOVA-4. Good boundary row.",
pepperoni-dip-ii,https://www.allrecipes.com/recipe/24169/pepperoni-dip-ii/,Pepperoni Dip II,"0.5 pound pepperoni sausage, diced; 1 (10.75 ounce) can condensed cream of mushroom soup; 1 (8 ounce) package cream cheese, softened",Ultra-processed,25,condensed soup>sauteed mushrooms + greek yogurt; cream cheese>blended cottage cheese,,All three ingredients are processed; condensed soup plus cured pepperoni is unambiguous NOVA-4. Anchor row for the bottom of the scale.,"pepperoni (1/2 lb)>cured with nitrites, but it IS the dip>uncured/nitrite-free pepperoni, butcher-counter smoked sausage"
southwest-egg-rolls,https://tastesbetterfromscratch.com/southwest-egg-rolls/,Southwest Egg Rolls,"20 egg roll wrappers; 15 ounce can black beans (, rinsed and drained); 1 cup cooked corn (, canned or frozen); 1 red or green bell pepper (, finely diced); 1/4 cup onion (, finely diced); 2 cups cooked chicken (, chopped (about 1 breast)); 1 teaspoon garlic powder; 1 teaspoon chili powder; 1/2 teaspoon ground cumin; 3/4 teaspoon salt; 1/4 teaspoon freshly ground black pepper; 1/2 cup shredded cheddar cheese (, or Mexican blend cheese); Oil for pan frying or deep frying (optional); 6 ounces cream cheese; 1/4 cup sour cream; 1 bunch fresh cilantro; 1/3 cup salsa",Processed,55,deep frying>bake or air-fry; egg roll wrappers>whole-wheat tortillas baked; cream cheese>blended cottage cheese; shredded cheddar>block cheese grated fresh,5,Bean-corn-chicken filling is genuinely decent; wrappers + frying + cream cheese pull it into Processed. The baked version would jump a band.,
meril-s-muffuletta-flatbread,https://www.emerils.com/131698/merils-muffuletta-flatbread,Meril's Muffuletta Flatbread,"Cornmeal; One 5-ounce portion of flatbread or pizza dough, rolled or stretched to a thickness of 1/8-inch; 1/4 cup Pomodoro Sauce or other pizza sauce; 2 ounces thinly sliced mortadella; 2 ounces sliced salami, cut into thin strips; 1/3 cup drained and finely chopped Italian Olive Salad; 6 ounces grated mozzarella; 1 teaspoon sesame seeds, for garnish",Processed,44,mortadella>grilled chicken; pizza dough>homemade whole-wheat crust,4,"Two nitrite-cured meats plus white dough plus brined olive salad; solid mid-Processed. Cured meats are the story, not the cheese.","salami>cured, but it carries the muffuletta identity>uncured salami, or use as a garnish rather than a layer; olive salad>the brine is the dish>rinse it, or chop fresh olives + homemade giardiniera; mozzarella (6 oz)>fresh-aisle cheese, acceptable>fresh mozzarella"
smoked-salmon-spread-in-cucumber-cups,https://www.emerils.com/127715/smoked-salmon-spread-cucumber-cups,Smoked Salmon Spread In Cucumber Cups,"6 ounces cream cheese, softened at room temperature; 2 teaspoons minced green-onion tops; 1 1/2 teaspoons minced shallot; 1 1/2 teaspoons minced capers; 1 teaspoon freshly squeezed lemon juice, plus 1/4 teaspoon finely grated lemon zest; Pinch salt; Pinch cayenne; 4 ounces smoked salmon, finely chopped; 6 to 8 very small cucumbers, such as Persian cucumbers (or fewer regular cucumbers); 2 hard-cooked eggs, for garnish; Fresh dill, for garnish",Mostly Clean,70,cream cheese>whipped cottage cheese,5,"Cucumber, eggs, dill and fish read clean; the cream-cheese base and cure are the knobs. Target 68->70 under the fresh-dairy rule.","smoked salmon>cured and salty, but it IS the dish>fresh poached salmon + smoked paprika, lower-sodium lox; capers>tiny amount>rinse the brine"
chicken-touff-e,https://www.emerils.com/124498/chicken-%C3%A9touff%C3%A9e,Chicken Étouffée,"One 4-pound chicken, cut into 8 pieces; Salt; Cayenne pepper; 2 tablespoons vegetable oil; 8 tablespoons unsalted butter; 3/4 cup flour; 1 cup finely diced yellow onion; 1/2 cup finely chopped celery; 1/2 cup finely chopped bell pepper; 2 bay leaves; 2 cloves garlic, minced; 1 bottle dark lager or amber beer; 1 quart cold chicken stock; 2 teaspoons brown sugar; 1/4 cup Louisiana hot sauce; 1 tablespoon Worcestershire Sauce; 1/4 cup chopped parsley",Mostly Clean,60,vegetable oil>avocado oil; brown sugar>honey,,Whole chicken + trinity vegetables against a cup of roux and a quarter cup of hot sauce. Right at the Mostly Clean floor - defensible as Processed.,"butter-flour roux (8 tbsp + 3/4 cup)>the foundation of an etouffee - swapping it out isn't this dish>dry-toast the flour first (deeper color from less fat); Louisiana hot sauce (1/4 cup)>signature heat but mostly salt at that volume>lower-sodium hot sauce, cayenne + vinegar; Worcestershire (1 tbsp)>minor>none needed"
baked-jalape-o-poppers,https://themodernproper.com/jalapeno-poppers,Baked Jalapeño Poppers,"1 tablespoon olive oil or baking spray; 1 cup shredded Parmesan cheese; 8 ounces cream cheese, room temperature; 4 pieces cooked thick-cut bacon, crumbled; 2 tablespoons chopped fresh chives; 2 cloves garlic, minced; ½ teaspoon kosher salt; ¼ teaspoon freshly cracked black pepper; 10 jalapeños, halved and seeded; 2 tablespoons salted butter, melted; 1 cup panko breadcrumbs",Processed,58,cream cheese>blended cottage cheese; bacon>smoked paprika; panko>whole-wheat panko or homemade crumbs,5,Fresh jalapenos are the only vegetable; the filling is the dish. Cheese handled per the fresh-aisle rule - target 56->58.,"parmesan (1 cup)>fresh-aisle hard cheese doing flavor work>grate from a wedge, not tubs; butter (2 tbsp)>binds the crumb topping>olive oil"
artichoke-dip,https://tastesbetterfromscratch.com/artichoke-dip/,Artichoke Dip,"8 ounce can artichoke hearts ((not marinated), drained and chopped); 1/2 cup sour cream; 1/2 cup mayonnaise; 8 ounces cream cheese (, softened); 1 1/4 cups freshly grated parmesan cheese; 1 clove garlic (, minced); dried dill weed (, to taste (fresh or dried))",Processed,54,mayonnaise>homemade mayo or greek yogurt; cream cheese>blended cottage cheese; sour cream>greek yogurt,,"One can of artichokes carrying four dairy/mayo fats; the base is the problem, not the parmesan. Label consistently with the hot spinach-artichoke dip. Target 52->54.",parmesan (1.25 cups)>already freshly grated - right sourcing - and it's the flavor backbone>none needed
the-best-queso-recipe,https://sugarspunrun.com/best-queso-recipe/,The Best Queso Recipe,"2 Tablespoons unsalted butter; ⅓ cup finely diced white onion; 1 Tablespoon minced garlic; 4 oz can fire roasted diced green chilis (drained ); ¼ cup diced roma tomato or canned petite diced tomatoes (juices drained ); 2 teaspoons cornstarch; ¼ teaspoon ground cumin; ¼ teaspoon ancho chili powder; ⅛ teaspoon smoked paprika; Dash of cayenne pepper (for a spicier queso, optional); ¼ teaspoon ground black pepper; ¼ teaspoon table salt (plus additional to taste as needed); 12 oz can full-fat evaporated milk; 8 oz freshly grated sharp cheddar cheese (see note ); Corn chips (for serving)",Processed,52,corn chips>baked tortilla wedges or veggie dippers; evaporated milk>whole milk + splash of cream,,"From-scratch queso beats jarred, and the cheese is fresh-grated block already. Still a cheese-sauce-plus-chips dish. Target 50->52.",cheddar (8 oz)>recipe already grates fresh from a block - right sourcing - and it IS the dish>sharp cheddar for more flavor per ounce; canned green chiles>fine as canned goods go>fresh roasted chiles
pull-apart-chopped-cheese,pasted,Pull-Apart Chopped Cheese,"1/4 cup mayonnaise; 1/4 medium onion, grated; 2 tablespoons ketchup; 2 teaspoons spicy brown mustard; 1 teaspoon pickle juice; 1/4 teaspoon sugar; 1/2 teaspoon sweet paprika; 1/2 teaspoon dried oregano; 1/4 teaspoon ground cumin; 1/4 teaspoon garlic powder; 1/4 teaspoon onion powder; 1/4 teaspoon ground coriander; Kosher salt and freshly ground black pepper; One 12-ounce package Hawaiian dinner rolls (12 rolls); 2 tablespoons unsalted butter, melted; 3/4 medium onion, diced; 3 frozen beef patties (1 pound total); 8 ounces (2 cups) shredded Muenster cheese; 2 plum tomatoes, thinly sliced; 1/2 head iceberg lettuce, thinly sliced",Ultra-processed,37,frozen beef patties>fresh 90% lean ground beef; Hawaiian rolls>homemade or bakery-fresh rolls; shredded Muenster>block Muenster sliced; ketchup + mayo sauce>homemade versions,,Frozen patties + sweet packaged rolls + a sugared mayo-ketchup sauce; the UPF carriers define it. Boundary with Processed.,
